source_sheet,source_row,original_keyword,normalized_name,candidate_sido,candidate_sigungu,candidate_parent,region_type,evidence,confidence,status,unresolved_reason,reason
세종,25,금남면,금남면,세종특별자치시,,세종,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
세종,26,장군면,장군면,세종특별자치시,,세종,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
세종,27,연서면,연서면,세종특별자치시,,세종,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
세종,28,전의면,전의면,세종특별자치시,,세종,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
세종,29,전동면,전동면,세종특별자치시,,세종,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
세종,30,소정면,소정면,세종특별자치시,,세종,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충북,2,청주시,청주시,충청북도,,충북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충북,7,충주시,충주시,충청북도,,충북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충북,8,보은군,보은군,충청북도,,충북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
충북,9,옥천군,옥천군,충청북도,,충북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
