page_id,route,final_status,generation_allowed,source_sheet,source_row,k_present,output_path,output_exists_after,action
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-d638-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-d638-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,60,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-d638-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d3c9-b9ac-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d3c9-b9ac-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,62,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d3c9-b9ac-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac00-cc9c-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac00-cc9c-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,64,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ac00-cc9c-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-baa8-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-baa8-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,65,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-ace0-baa8-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b450-c0b0-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b450-c0b0-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,67,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b450-c0b0-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bc94-c5b4-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bc94-c5b4-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,70,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bc94-c5b4-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c218-c131-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c218-c131-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,74,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c218-c131-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-b9e4-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-b9e4-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,76,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c2e0-b9e4-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-c911-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-c911-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,77,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-c911-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d669-ae08-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d669-ae08-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,80,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-d669-ae08-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-b0a8-c0b0-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-b0a8-c0b0-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,81,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-ad6c-b0a8-c0b0-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-bd09-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-bd09-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,82,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b300-bd09-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-c131-b85c:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-c131-b85c/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,83,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-c131-b85c\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-c778-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-c778-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,84,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-b3d9-c778-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bd09-c0b0-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bd09-c0b0-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,85,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-bd09-c0b0-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
candidate:tutor:kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0bc-b355-b3d9:region_tutor,/tutor/kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0bc-b355-b3d9/region_tutor,READY_REMOVE_DUPLICATE_H1,true,대구,86,true,C:\프로젝트\tutorplan\output\tutor\kr-b300-ad6c-kr-b300-ad6c-c911-ad6c-kr-c0bc-b355-b3d9\region_tutor\index.html,True,GENERATED_K_REMOVE_H1
