source_sheet,source_row,original_keyword,normalized_region_name,candidate_sido,candidate_sigungu,candidate_parent,match_method,confidence,reason,status,candidate_parents,region_id,parent_region_id
전북,9,김제시,김제시,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-ae40-c81c-c2dc,
전북,10,완주군,완주군,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-c644-c8fc-ad70,
전북,11,진안군,진안군,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-c9c4-c548-ad70,
전북,12,무주군,무주군,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-bb34-c8fc-ad70,
전북,13,장수군,장수군,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-c7a5-c218-ad70,
전북,14,임실군,임실군,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-c784-c2e4-ad70,
전북,15,순창군,순창군,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-c21c-cc3d-ad70,
전북,16,고창군,고창군,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-ace0-cc3d-ad70,
전북,17,부안군,부안군,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-bd80-c548-ad70,
경북,4,경주시,경주시,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-acbd-c8fc-c2dc,
경북,5,김천시,김천시,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-ae40-cc9c-c2dc,
경북,6,안동시,안동시,경상북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-acbd-bd81-kr-c548-b3d9-c2dc,
