page_id,region_id,keyword,sheet,row,route,status
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ba85-c77c-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ba85-c77c-b3d9,명일동과외,서울,46,/tutor/seoul-kr-c911-b791-ad6c-kr-ba85-c77c-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c0c1-c77c-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c0c1-c77c-b3d9,상일동과외,서울,47,/tutor/seoul-kr-c911-b791-ad6c-kr-c0c1-c77c-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c131-b0b4-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c131-b0b4-b3d9,성내동과외,서울,48,/tutor/seoul-kr-c911-b791-ad6c-kr-c131-b0b4-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c554-c0ac-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c554-c0ac-b3d9,암사동과외,서울,49,/tutor/seoul-kr-c911-b791-ad6c-kr-c554-c0ac-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-cc9c-d638-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-cc9c-d638-b3d9,천호동과외,서울,50,/tutor/seoul-kr-c911-b791-ad6c-kr-cc9c-d638-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-bbf8-c544-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-bbf8-c544-b3d9,미아동과외,서울,51,/tutor/seoul-kr-c911-b791-ad6c-kr-bbf8-c544-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-bc88-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-bc88-b3d9,강북구 번동과외,서울,52,/tutor/seoul-kr-c911-b791-ad6c-kr-bc88-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c218-c720-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c218-c720-b3d9,수유동과외,서울,53,/tutor/seoul-kr-c911-b791-ad6c-kr-c218-c720-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c6b0-c774-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c6b0-c774-b3d9,우이동과외,서울,54,/tutor/seoul-kr-c911-b791-ad6c-kr-c6b0-c774-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ac00-c591-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ac00-c591-b3d9,가양동과외,서울,55,/tutor/seoul-kr-c911-b791-ad6c-kr-ac00-c591-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ac1c-d654-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ac1c-d654-b3d9,개화동과외,서울,56,/tutor/seoul-kr-c911-b791-ad6c-kr-ac1c-d654-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-acf5-d56d-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-acf5-d56d-b3d9,공항동과외,서울,57,/tutor/seoul-kr-c911-b791-ad6c-kr-acf5-d56d-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-acfc-d574-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-acfc-d574-b3d9,과해동과외,서울,58,/tutor/seoul-kr-c911-b791-ad6c-kr-acfc-d574-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-b0b4-bc1c-c0b0-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-b0b4-bc1c-c0b0-b3d9,내발산동과외,서울,59,/tutor/seoul-kr-c911-b791-ad6c-kr-b0b4-bc1c-c0b0-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-b4f1-cd0c-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-b4f1-cd0c-b3d9,등촌동과외,서울,60,/tutor/seoul-kr-c911-b791-ad6c-kr-b4f1-cd0c-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-b9c8-ace1-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-b9c8-ace1-b3d9,마곡동과외,서울,61,/tutor/seoul-kr-c911-b791-ad6c-kr-b9c8-ace1-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-bc29-d654-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-bc29-d654-b3d9,방화동과외,서울,62,/tutor/seoul-kr-c911-b791-ad6c-kr-bc29-d654-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c5fc-cc3d-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c5fc-cc3d-b3d9,염창동과외,서울,63,/tutor/seoul-kr-c911-b791-ad6c-kr-c5fc-cc3d-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c624-ace1-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c624-ace1-b3d9,오곡동과외,서울,64,/tutor/seoul-kr-c911-b791-ad6c-kr-c624-ace1-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c624-c1e0-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c624-c1e0-b3d9,오쇠동과외,서울,65,/tutor/seoul-kr-c911-b791-ad6c-kr-c624-c1e0-b3d9/region_tutor,HOLD_CONTENT
