normalized_school_name,school_level,reference_count,region_count,sigungu_count,sido_count,classification,confidence,source_region_statuses
성수고등학교,high_school,10,1,1,1,manual_review,low,normal
서울방송고등학교,high_school,4,1,1,1,manual_review,low,normal
광희중학교,middle_school,2,1,1,1,manual_review,low,normal
도선고등학교,high_school,3,1,1,1,manual_review,low,normal
무학여자고등학교,high_school,5,1,1,1,manual_review,low,normal
계성고등학교,high_school,5,1,1,1,manual_review,low,normal
성신여자고등학교,high_school,10,1,1,1,manual_review,low,normal
서울정덕초등학교,elementary_school,2,1,1,1,manual_review,low,normal
대광초등학교,elementary_school,2,1,1,1,manual_review,low,normal
한성여자고등학교,high_school,4,1,1,1,manual_review,low,normal
석관고등학교,high_school,4,1,1,1,manual_review,low,normal
홍익대학교사범대학부속고등학교,high_school,5,1,1,1,manual_review,low,normal
용문고등학교,high_school,3,1,1,1,manual_review,low,normal
남대문중학교,middle_school,7,1,1,1,manual_review,low,normal
대일외국어고등학교,high_school,8,1,1,1,manual_review,low,normal
서울대학교사범대학부설고등학교,high_school,5,1,1,1,manual_review,low,normal
서울도시과학기술고등학교,high_school,4,1,1,1,manual_review,low,normal
해누리중학교,middle_school,10,1,1,1,manual_review,low,normal
덕수고등학교,high_school,7,1,1,1,manual_review,low,normal
서울마천초등학교,elementary_school,2,1,1,1,manual_review,low,normal
문정고등학교,high_school,5,1,1,1,manual_review,low,normal
보성고등학교,high_school,13,1,1,1,manual_review,low,normal
배명고등학교,high_school,3,1,1,1,manual_review,low,normal
잠실여자고등학교,high_school,7,1,1,1,manual_review,low,normal
잠실고등학교,high_school,5,1,1,1,manual_review,low,normal
보인고등학교,high_school,9,1,1,1,manual_review,low,normal
정신여자고등학교,high_school,15,1,1,1,manual_review,low,normal
문현고등학교,high_school,6,1,1,1,manual_review,low,normal
영파여자고등학교,high_school,7,1,1,1,manual_review,low,normal
진명여자고등학교,high_school,18,1,1,1,manual_review,low,normal
광영여자고등학교,high_school,19,1,1,1,manual_review,low,normal
목동고등학교,high_school,27,1,1,1,manual_review,low,normal
당산중학교,middle_school,4,1,1,1,manual_review,low,normal
영남중학교,middle_school,7,1,1,1,manual_review,low,normal
양화중학교,middle_school,5,1,1,1,manual_review,low,normal
장훈고등학교,high_school,12,1,1,1,manual_review,low,normal
선유고등학교,high_school,7,1,1,1,manual_review,low,normal
여의도여자고등학교,high_school,6,1,1,1,manual_review,low,normal
영원중학교,middle_school,3,1,1,1,manual_review,low,normal
오산고등학교,high_school,2,1,1,1,manual_review,low,normal
배문고등학교,high_school,2,1,1,1,manual_review,low,normal
한강중학교,middle_school,2,1,1,1,manual_review,low,normal
보성여자고등학교,high_school,5,1,1,1,manual_review,low,normal
성심여자고등학교,high_school,3,1,1,1,manual_review,low,normal
중경고등학교,high_school,3,1,1,1,manual_review,low,normal
서울디지텍고등학교,high_school,3,1,1,1,manual_review,low,normal
신광여자고등학교,high_school,6,1,1,1,manual_review,low,normal
용산철도고등학교,high_school,3,1,1,1,manual_review,low,normal
서울후암초등학교,elementary_school,2,1,1,1,manual_review,low,normal
선일여자고등학교,high_school,10,1,1,1,manual_review,low,normal
예일여자고등학교,high_school,9,1,1,1,manual_review,low,normal
서울어울초등학교,elementary_school,3,1,1,1,manual_review,low,normal
동명여자고등학교,high_school,4,1,1,1,manual_review,low,normal
세명컴퓨터고등학교,high_school,9,1,1,1,manual_review,low,normal
충암고등학교,high_school,8,1,1,1,manual_review,low,normal
증산중학교,middle_school,3,1,1,1,manual_review,low,normal
하나고등학교,high_school,11,1,1,1,manual_review,low,normal
중앙고등학교,high_school,3,1,1,1,manual_review,low,normal
서울국제고등학교,high_school,2,1,1,1,manual_review,low,normal
서울대학교사범대학부설여자중학교,middle_school,2,1,1,1,manual_review,low,normal
서일문화예술고등학교,high_school,3,1,1,1,manual_review,low,normal
경기상업고등학교,high_school,4,1,1,1,manual_review,low,normal
배화여자고등학교,high_school,3,1,1,1,manual_review,low,normal
대신고등학교,high_school,2,1,1,1,manual_review,low,normal
상명대학교사범대학부속여자고등학교,high_school,3,1,1,1,manual_review,low,normal
환일고등학교,high_school,4,1,1,1,manual_review,low,normal
장충고등학교,high_school,17,1,1,1,manual_review,low,normal
리라아트고등학교,high_school,3,1,1,1,manual_review,low,normal
이화여자고등학교,high_school,3,1,1,1,manual_review,low,normal
혜원여자고등학교,high_school,15,1,1,1,manual_review,low,normal
면목고등학교,high_school,11,1,1,1,manual_review,low,normal
원묵고등학교,high_school,7,1,1,1,manual_review,low,normal
신현고등학교,high_school,4,1,1,1,manual_review,low,normal
중화고등학교,high_school,5,1,1,1,manual_review,low,normal
혜광고등학교,high_school,2,1,1,1,manual_review,low,normal
부산디지털고등학교,high_school,3,1,1,1,manual_review,low,normal
