source_sheet,source_row,region_id,region_name,school_name,normalized_school_name,school_level,sido,sigungu,source_region_status,relation_context
전남,282,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c57d-c0b0-ba74,약산면,약산고등학교,약산고등학교,high_school,전남,신안군,normal,source_reference
전남,282,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c57d-c0b0-ba74,약산면,약산고등학교,약산고등학교,high_school,전남,신안군,normal,source_reference
전남,282,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c57d-c0b0-ba74,약산면,약산고등학교,약산고등학교,high_school,전남,신안군,normal,source_reference
전남,283,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-ccad-c0b0-ba74,청산면,청산중학교,청산중학교,middle_school,전남,신안군,normal,source_reference
전남,283,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-ccad-c0b0-ba74,청산면,청산중학교,청산중학교,middle_school,전남,신안군,normal,source_reference
전남,283,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-ccad-c0b0-ba74,청산면,청산중학교,청산중학교,middle_school,전남,신안군,normal,source_reference
전남,284,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c18c-c548-ba74,소안면,소안중학교,소안중학교,middle_school,전남,신안군,normal,source_reference
전남,284,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c18c-c548-ba74,소안면,소안중학교,소안중학교,middle_school,전남,신안군,normal,source_reference
전남,285,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-ae08-b2f9-ba74,금당면,금당중학교,금당중학교,middle_school,전남,신안군,normal,source_reference
전남,285,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-ae08-b2f9-ba74,금당면,금당중학교,금당중학교,middle_school,전남,신안군,normal,source_reference
전남,286,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-bcf4-ae38-ba74,보길면,완도보길중학교,완도보길중학교,middle_school,전남,신안군,normal,source_reference
전남,286,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-bcf4-ae38-ba74,보길면,완도보길중학교,완도보길중학교,middle_school,전남,신안군,normal,source_reference
전남,286,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-bcf4-ae38-ba74,보길면,완도보길중학교,완도보길중학교,middle_school,전남,신안군,normal,source_reference
전남,287,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c0dd-c77c-ba74,생일면,금일중학교생일분교장,금일중학교생일분교장,middle_school,전남,신안군,normal,source_reference
전남,287,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c0dd-c77c-ba74,생일면,금일중학교생일분교장,금일중학교생일분교장,middle_school,전남,신안군,normal,source_reference
전남,288,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c9c4-b3c4-c74d,진도읍,진도고등학교,진도고등학교,high_school,전남,신안군,normal,source_reference
전남,288,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c9c4-b3c4-c74d,진도읍,진도고등학교,진도고등학교,high_school,전남,신안군,normal,source_reference
전남,288,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c9c4-b3c4-c74d,진도읍,진도고등학교,진도고등학교,high_school,전남,신안군,normal,source_reference
전남,288,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c9c4-b3c4-c74d,진도읍,진도고등학교,진도고등학교,high_school,전남,신안군,normal,source_reference
전남,288,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-c9c4-b3c4-c74d,진도읍,진도고등학교,진도고등학교,high_school,전남,신안군,normal,source_reference
전남,289,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-ad70-b0b4-ba74,군내면,진도군내중학교,진도군내중학교,middle_school,전남,신안군,normal,source_reference
전남,289,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-ad70-b0b4-ba74,군내면,진도군내중학교,진도군내중학교,middle_school,전남,신안군,normal,source_reference
전남,289,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-ad70-b0b4-ba74,군내면,진도군내중학교,진도군내중학교,middle_school,전남,신안군,normal,source_reference
전남,290,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-ace0-ad70-ba74,고군면,고성중학교,고성중학교,middle_school,전남,신안군,normal,source_reference
전남,290,kr-c804-b0a8-kr-c2e0-c548-ad70-kr-ace0-ad70-ba74,고군면,고성중학교,고성중학교,middle_school,전남,신안군,normal,source_reference
