normalized_school_name,school_level,reference_count,region_count,sigungu_count,sido_count,classification,confidence,source_region_statuses
성내중학교,middle_school,5,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
광남고등학교,high_school,10,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
대광고등학교,high_school,8,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
성산중학교,middle_school,7,3,3,3,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
인창고등학교,high_school,11,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
동성고등학교,high_school,9,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
금성초등학교,elementary_school,9,3,3,3,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
금성고등학교,high_school,5,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
서면중학교,middle_school,9,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
성지고등학교,high_school,11,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
영산고등학교,high_school,10,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
지사중학교,middle_school,4,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
옥성초등학교,elementary_school,3,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
청량중학교,middle_school,6,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
세종고등학교,high_school,9,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
덕산고등학교,high_school,9,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
상하중학교,middle_school,5,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
한빛고등학교,high_school,9,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
풍산고등학교,high_school,13,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
예당고등학교,high_school,9,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
화동중학교,middle_school,5,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
상서중학교,middle_school,7,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
고성고등학교,high_school,7,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
남이초등학교,elementary_school,3,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
대성중학교,middle_school,6,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
수정초등학교,elementary_school,2,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
산외초등학교,elementary_school,2,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
삼성중학교,middle_school,4,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
대가초등학교,elementary_school,2,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
용남고등학교,high_school,6,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
옥산초등학교,elementary_school,3,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
동강중학교,middle_school,6,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
봉산초등학교,elementary_school,3,3,3,3,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
청하중학교,middle_school,5,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
마암초등학교,elementary_school,3,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
외서초등학교,elementary_school,3,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
화산중학교,middle_school,4,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
산양중학교,middle_school,5,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
안덕중학교,middle_school,8,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
상리초등학교,elementary_school,2,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
